DRAN,DRACT,IPONDI,insee_dep_x,lat_dest,lng_dest,insee_dep_y,lat_src,lng_src
23,03,128.42554861105097,03,46.39381563364784,3.18813351109937,23,46.09036006042322,2.0188404178551593
23,04,2.8395583920869,04,44.105953173469146,6.243551214366354,23,46.09036006042322,2.0188404178551593
23,06,12.40349145741265,06,43.9380214983474,7.116144773756707,23,46.09036006042322,2.0188404178551593
24,01,13.528405763290676,01,46.099628623191094,5.348923142711287,24,45.104155409459516,0.741151079456389
24,02,5.04546920636216,02,49.559813275991445,3.558087277023658,24,45.104155409459516,0.741151079456389
24,03,28.72844569070727,03,46.39381563364784,3.18813351109937,24,45.104155409459516,0.741151079456389
24,04,1.22040371126087,04,44.105953173469146,6.243551214366354,24,45.104155409459516,0.741151079456389
24,05,7.61851272204931,05,44.663706822016515,6.263200801496509,24,45.104155409459516,0.741151079456389
24,06,88.18660563002308,06,43.9380214983474,7.116144773756707,24,45.104155409459516,0.741151079456389
24,07,7.79948957514933,07,44.751719837620335,4.4245805188405125,24,45.104155409459516,0.741151079456389
25,01,90.4930917484227,01,46.099628623191094,5.348923142711287,25,47.16566914090738,6.3619462109843115
25,02,13.52089136070772,02,49.559813275991445,3.558087277023658,25,47.16566914090738,6.3619462109843115
25,03,25.48974200643379,03,46.39381563364784,3.18813351109937,25,47.16566914090738,6.3619462109843115
25,04,11.87485568012546,04,44.105953173469146,6.243551214366354,25,47.16566914090738,6.3619462109843115
25,05,2.98714846251109,05,44.663706822016515,6.263200801496509,25,47.16566914090738,6.3619462109843115
25,06,147.37212298390614,06,43.9380214983474,7.116144773756707,25,47.16566914090738,6.3619462109843115
25,07,43.72856028899377,07,44.751719837620335,4.4245805188405125,25,47.16566914090738,6.3619462109843115
26,01,71.98881034275716,01,46.099628623191094,5.348923142711287,26,44.68409102260904,5.167945573183401
26,02,1.06385542756425,02,49.559813275991445,3.558087277023658,26,44.68409102260904,5.167945573183401
26,03,25.37248915175518,03,46.39381563364784,3.18813351109937,26,44.68409102260904,5.167945573183401
26,04,39.08878935308416,04,44.105953173469146,6.243551214366354,26,44.68409102260904,5.167945573183401
